font,count,ratio
arial,59586,62.03%
verdana,34700,36.12%
tahoma,23155,24.10%
georgia,19428,20.22%
helvetica,17549,18.27%
helvetica neue,17366,18.08%
sans-serif,13833,14.40%
trebuchet ms,11734,12.21%
monospace,11598,12.07%
lucida grande,9495,9.88%
monaco,6921,7.20%
open sans,6396,6.66%
courier new,5763,6.00%
times new roman,4961,5.16%
fontawesome,4432,4.61%
serif,3921,4.08%
simsun,2857,2.97%宋体
consolas,2730,2.84%
oswald,2345,2.44%
microsoft yahei,2301,2.40%微软雅黑
calibri,2181,2.27%
microsoft yahei,2159,2.25%
arial black,1796,1.87%
courier,1758,1.83%
segoe ui,1723,1.79%
lucida sans unicode,1717,1.79%
droid sans,1715,1.79%
menu,1600,1.67%
century gothic,1508,1.57%
menlo,1479,1.54%
glyphicons halflings,1466,1.53%
lato,1462,1.52%
impact,1454,1.51%
andale mono,1441,1.50%
myriad pro,1373,1.43%
times,1327,1.38%
geneva,1305,1.36%
helveticaneue-light,1248,1.30%
helveticaneue,1180,1.23%
pt sans,1064,1.11%
simsun,1015,1.06%
arial narrow,1005,1.05%
bitstream vera sans mono,956,1.00%
roboto,933,0.97%
open sans condensed,918,0.96%
source sans pro,852,0.89%
palatino linotype,812,0.85%
simhei,802,0.83%黑体
lucida console,777,0.81%
courier 10 pitch,712,0.74%
droid serif,707,0.74%
lucida sans,671,0.70%
ubuntu,636,0.66%
bebasneueregular,626,0.65%
proxima-nova,611,0.64%
fontello,597,0.62%
icomoon,590,0.61%
raleway,537,0.56%
roboto condensed,501,0.52%
ヒラギノ角ゴ pro w3,483,0.50%
メイリオ,482,0.50%
comic sans ms,470,0.49%
garamond,464,0.48%
dashicons,442,0.46%
ｍｓ ｐゴシック,410,0.43%
cambria,404,0.42%
pt sans narrow,403,0.42%
palatino,392,0.41%
baskerville,379,0.39%
montserrat,366,0.38%
genericons,354,0.37%
trebuchet,299,0.31%
yanone kaffeesatz,285,0.30%
noticons,283,0.29%
sans,270,0.28%
tablepress,259,0.27%
arialroundedmtbold,254,0.26%
flexslider-icon,252,0.26%
inconsolata,252,0.26%
roman,250,0.26%
proxima nova,248,0.26%
lora,240,0.25%
arvo,237,0.25%
pt serif,235,0.24%
arimo,234,0.24%
videojs,230,0.24%
bitter,228,0.24%
opensansregular,227,0.24%
icons,222,0.23%
byekan,219,0.23%
roboto slab,210,0.22%
yahei,210,0.22%
dejavu sans mono,205,0.21%
entypo,204,0.21%
titillium web,200,0.21%
cabin,196,0.20%
lobster,196,0.20%
arial unicode ms,195,0.20%
gill sans,192,0.20%
merriweather,188,0.20%
opensans,188,0.20%
candara,184,0.19%
optima,184,0.19%
dotum,183,0.19%
comic sans,179,0.19%
cuprum,178,0.19%
dosis,178,0.19%
ms sans serif,177,0.18%
futura,174,0.18%